timestamp,kind,run,out_dir,arch,hidden_dim,num_layers,hops_per_layer,mdk_use,data_root,seed,max_epochs,epochs_run,best_val_loss,best_epoch,train_seconds,split,checkpoint,n_scenarios,rmse,mae,csi_0p05,csi_0p3,report
2026-09-13T00:48:49,train,L2_partA_swegnn,runs\L2_partA_swegnn,flow_mdk,32,2,2,False,data/scenarios_partA_v2,0,40,40,9.736613,1,340,,,,,,,,runs\L2_partA_swegnn\history.json
2026-09-13T00:49:05,eval,L2_partA_swegnn,runs/L2_partA_swegnn,,,,,,data/scenarios_partA_v2,,,,,,,test,runs/L2_partA_swegnn/last.pt,49,4.496259;103.123816,3.772139;86.801303,0.9834,0.5959,runs\L2_partA_swegnn\eval_test.json
2026-09-13T00:49:17,eval,L2_partA_swegnn,runs/L2_partA_swegnn,,,,,,data/real_cases/family_mdx,,,,,,,test,runs/L2_partA_swegnn/last.pt,7,3.697338;492.352609,3.230844;444.148420,0.4827,0.3909,runs\L2_partA_swegnn\eval_test_family_mdx.json
2026-09-13T00:49:26,eval,L2_partA_swegnn,runs/L2_partA_swegnn,,,,,,data/real_cases/family_zxh,,,,,,,test,runs/L2_partA_swegnn/last.pt,6,0.580623;22.674208,0.419284;15.971333,0.9410,0.7884,runs\L2_partA_swegnn\eval_test_family_zxh.json
2026-09-13T00:49:35,eval,L2_partA_swegnn,runs/L2_partA_swegnn,,,,,,data/real_cases/family_wqh,,,,,,,test,runs/L2_partA_swegnn/last.pt,6,1.102254;53.051595,0.884183;41.669564,0.7830,0.6754,runs\L2_partA_swegnn\eval_test_family_wqh.json
2026-09-13T00:49:46,eval,L2_partA_swegnn,runs/L2_partA_swegnn,,,,,,data/real_cases/scenarios_1d,,,,,,,val,runs/L2_partA_swegnn/last.pt,5,3.473940;238.008657,2.481967;200.227719,0.8031,0.7210,runs\L2_partA_swegnn\eval_val_scenarios_1d.json
2026-09-13T00:59:26,train,L2_partA_flow_mdk,runs\L2_partA_flow_mdk,flow_mdk,32,3,1,True,data/scenarios_partA_v2,0,40,40,7.889179,3,572,,,,,,,,runs\L2_partA_flow_mdk\history.json
2026-09-13T00:59:56,eval,L2_partA_flow_mdk,runs/L2_partA_flow_mdk,,,,,,data/scenarios_partA_v2,,,,,,,test,runs/L2_partA_flow_mdk/last.pt,49,1.421645;52.126857,1.164261;41.380816,0.9369,0.5822,runs\L2_partA_flow_mdk\eval_test.json
2026-09-13T01:00:17,eval,L2_partA_flow_mdk,runs/L2_partA_flow_mdk,,,,,,data/real_cases/family_mdx,,,,,,,test,runs/L2_partA_flow_mdk/last.pt,7,2.628577;385.528813,2.148742;334.360670,0.7944,0.7457,runs\L2_partA_flow_mdk\eval_test_family_mdx.json
2026-09-13T01:00:29,eval,L2_partA_flow_mdk,runs/L2_partA_flow_mdk,,,,,,data/real_cases/family_zxh,,,,,,,test,runs/L2_partA_flow_mdk/last.pt,6,0.632364;36.122929,0.502682;29.560982,0.9980,0.9699,runs\L2_partA_flow_mdk\eval_test_family_zxh.json
2026-09-13T01:00:42,eval,L2_partA_flow_mdk,runs/L2_partA_flow_mdk,,,,,,data/real_cases/family_wqh,,,,,,,test,runs/L2_partA_flow_mdk/last.pt,6,0.929234;29.919975,0.698313;22.912155,0.8590,0.7985,runs\L2_partA_flow_mdk\eval_test_family_wqh.json
2026-09-13T01:00:56,eval,L2_partA_flow_mdk,runs/L2_partA_flow_mdk,,,,,,data/real_cases/scenarios_1d,,,,,,,val,runs/L2_partA_flow_mdk/last.pt,5,2.259521;202.454082,1.578384;171.637815,0.8757,0.8348,runs\L2_partA_flow_mdk\eval_val_scenarios_1d.json
2026-09-13T01:05:29,train,L2_partA_gcn,runs\L2_partA_gcn,baseline_gcn,32,3,1,False,data/scenarios_partA_v2,0,40,40,11.057012,1,262,,,,,,,,runs\L2_partA_gcn\history.json
2026-09-13T01:05:47,eval,L2_partA_gcn,runs/L2_partA_gcn,,,,,,data/scenarios_partA_v2,,,,,,,test,runs/L2_partA_gcn/last.pt,49,0.794439;39.189346,0.555801;26.464824,0.8437,0.4797,runs\L2_partA_gcn\eval_test.json
2026-09-13T01:06:00,eval,L2_partA_gcn,runs/L2_partA_gcn,,,,,,data/real_cases/family_mdx,,,,,,,test,runs/L2_partA_gcn/last.pt,7,3.099239;449.464438,2.850050;402.334019,0.5627,0.4203,runs\L2_partA_gcn\eval_test_family_mdx.json
2026-09-13T01:06:09,eval,L2_partA_gcn,runs/L2_partA_gcn,,,,,,data/real_cases/family_zxh,,,,,,,test,runs/L2_partA_gcn/last.pt,6,0.211604;9.769256,0.182727;8.634286,0.9931,0.8248,runs\L2_partA_gcn\eval_test_family_zxh.json
2026-09-13T01:06:19,eval,L2_partA_gcn,runs/L2_partA_gcn,,,,,,data/real_cases/family_wqh,,,,,,,test,runs/L2_partA_gcn/last.pt,6,0.651160;34.041574,0.472509;24.986453,0.9474,0.8713,runs\L2_partA_gcn\eval_test_family_wqh.json
2026-09-13T01:06:29,eval,L2_partA_gcn,runs/L2_partA_gcn,,,,,,data/real_cases/scenarios_1d,,,,,,,val,runs/L2_partA_gcn/last.pt,5,1.934785;231.912930,1.327712;199.419378,0.9704,0.9026,runs\L2_partA_gcn\eval_val_scenarios_1d.json
2026-09-13T01:14:26,train,L2_partA_gat,runs\L2_partA_gat,baseline_gat,32,3,1,False,data/scenarios_partA_v2,0,40,40,11.474629,4,467,,,,,,,,runs\L2_partA_gat\history.json
